nom;amendements_adoptes;amendements_proposes;amendements_signes;commission_interventions;commission_presences;hemicycle_interventions;hemicycle_interventions_courtes;propositions_ecrites;propositions_signees;questions_ecrites;questions_orales;rapports;semaines_presence;mois;annee;DEPSIR
Cédric Roussel;20;4;85;0;0;0;0;0;3;0;0;0;1;6;2020;0603
Cédric Roussel;10;4;43;0;1;6;4;0;3;0;1;1;5;7;2020;0603
Cédric Roussel;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2020;0603
Cédric Roussel;67;1;103;0;4;0;1;0;2;0;0;0;3;9;2020;0603
Cédric Roussel;38;8;113;0;1;4;2;0;1;0;0;0;5;10;2020;0603
Cédric Roussel;34;2;48;0;0;8;1;0;0;0;1;0;3;11;2020;0603
Cédric Roussel;14;1;25;0;0;2;1;1;4;0;0;0;2;12;2020;0603
Cédric Roussel;20;0;39;0;0;0;0;0;3;0;0;0;1;1;2021;0603
Cédric Roussel;14;0;22;0;0;0;0;0;0;0;0;0;3;2;2021;0603
Cédric Roussel;85;21;139;0;0;15;2;0;0;0;0;0;1;3;2021;0603
Cédric Roussel;0;0;11;0;0;0;0;0;0;0;0;0;2;4;2021;0603
Cédric Roussel;38;0;57;0;0;0;0;0;0;0;0;0;0;5;2021;0603
Cédric Roussel;21;17;52;0;0;0;0;0;0;0;0;0;0;6;2021;0603
Cédric Roussel;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2021;0603
Cédric Roussel;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2021;0603
Cédric Roussel;15;0;18;0;2;0;0;0;0;0;0;0;2;9;2021;0603
Cédric Roussel;52;2;72;0;5;0;0;0;0;0;0;0;3;10;2021;0603
Cédric Roussel;38;0;51;0;3;0;0;0;0;0;0;0;3;11;2021;0603
Cédric Roussel;22;0;35;0;2;0;0;0;0;0;0;1;2;12;2021;0603
Pascale Fontenel-Personne;0;0;0;0;1;0;0;0;0;0;0;0;1;6;2017;7203
Pascale Fontenel-Personne;0;0;0;0;8;0;0;0;0;0;0;0;4;7;2017;7203
Pascale Fontenel-Personne;0;0;0;0;1;0;0;0;0;0;0;0;1;8;2017;7203
Pascale Fontenel-Personne;7;0;17;0;0;0;0;0;0;0;0;0;0;9;2017;7203
Pascale Fontenel-Personne;9;2;23;2;5;5;1;0;1;0;1;0;4;10;2017;7203
Pascale Fontenel-Personne;9;0;16;1;5;0;0;0;1;0;0;0;3;11;2017;7203
Pascale Fontenel-Personne;0;1;6;0;4;0;0;0;1;1;0;0;3;12;2017;7203
Pascale Fontenel-Personne;0;0;3;0;3;0;0;0;1;0;0;0;3;1;2018;7203
Pascale Fontenel-Personne;0;0;2;2;8;0;0;0;2;6;0;0;3;2;2018;7203
Pascale Fontenel-Personne;44;0;83;0;1;1;0;0;2;1;0;0;3;3;2018;7203
Pascale Fontenel-Personne;4;0;72;2;5;1;1;0;0;1;1;0;1;4;2018;7203
Pascale Fontenel-Personne;12;20;150;1;7;3;2;0;2;3;0;0;4;5;2018;7203
Pascale Fontenel-Personne;14;4;56;0;1;0;0;0;0;2;0;0;3;6;2018;7203
Pascale Fontenel-Personne;17;0;40;0;4;0;0;0;0;6;0;0;4;7;2018;7203
Pascale Fontenel-Personne;0;0;0;0;0;5;0;0;0;3;1;0;1;8;2018;7203
Pascale Fontenel-Personne;35;10;91;0;0;0;0;0;0;0;0;0;2;9;2018;7203
Pascale Fontenel-Personne;57;2;146;1;5;2;0;0;0;1;1;0;5;10;2018;7203
Pascale Fontenel-Personne;72;8;125;0;2;1;0;0;0;0;0;0;3;11;2018;7203
Pascale Fontenel-Personne;32;4;51;0;0;0;0;0;3;0;0;0;2;12;2018;7203
Pascale Fontenel-Personne;11;0;29;0;0;2;0;0;2;1;1;0;2;1;2019;7203
Pascale Fontenel-Personne;10;0;36;0;0;0;0;0;2;1;0;0;2;2;2019;7203
Pascale Fontenel-Personne;30;1;74;0;1;0;0;0;3;1;0;0;1;3;2019;7203
Pascale Fontenel-Personne;1;1;9;0;0;2;0;0;4;1;1;0;3;4;2019;7203
Pascale Fontenel-Personne;24;1;160;0;0;0;0;0;2;0;0;0;4;5;2019;7203
Pascale Fontenel-Personne;46;0;107;0;0;0;0;0;1;0;0;0;2;6;2019;7203
Pascale Fontenel-Personne;15;0;29;0;0;0;0;0;2;0;0;0;1;7;2019;7203
Pascale Fontenel-Personne;0;0;0;0;0;0;0;0;0;2;0;0;0;8;2019;7203
Pascale Fontenel-Personne;7;0;34;0;0;0;0;0;1;0;0;0;1;9;2019;7203
Pascale Fontenel-Personne;13;3;25;0;2;0;0;0;2;0;0;0;4;10;2019;7203
